hemLocationId,maritalStatusId,dependants,incomeRangeId,weeklyValue
9,single,0,11,781
9,single,1,11,881
9,single,2,11,1004
9,single,3,11,1127
9,married,0,12,1164
9,married,1,12,1248
9,married,2,12,1317
9,married,3,12,1408
9,single,0,12,897
9,single,1,12,997
9,single,2,12,1121
9,single,3,12,1245
9,married,0,13,1336
9,married,1,13,1420
9,married,2,13,1489
9,married,3,13,1582
9,single,0,13,1070
9,single,1,13,1170
9,single,2,13,1296
9,single,3,13,1421
9,married,0,14,1358
9,married,1,14,1442
9,married,2,14,1511
9,married,3,14,1604
9,single,0,14,1092
9,single,1,14,1193
9,single,2,14,1319
9,single,3,14,1444
10,married,0,1,610
10,married,1,1,712
10,married,2,1,780
10,married,3,1,890
10,single,0,1,324
10,single,1,1,437
10,single,2,1,557
10,single,3,1,692
10,married,0,2,610
10,married,1,2,712
10,married,2,2,780
10,married,3,2,890
10,single,0,2,340
10,single,1,2,437
10,single,2,2,557
10,single,3,2,692
10,married,0,3,626
10,married,1,3,712
10,married,2,3,780
10,married,3,3,890
10,single,0,3,356
10,single,1,3,453
10,single,2,3,573
10,single,3,3,692
10,married,0,4,652
10,married,1,4,737
10,married,2,4,806
10,married,3,4,890
10,single,0,4,381
10,single,1,4,479
10,single,2,4,599
10,single,3,4,719
10,married,0,5,692
10,married,1,5,777
10,married,2,5,846
10,married,3,5,931
10,single,0,5,422
10,single,1,5,520
10,single,2,5,640
10,single,3,5,760
10,married,0,6,753
10,married,1,6,838
10,married,2,6,907
10,married,3,6,992
10,single,0,6,483
10,single,1,6,581
10,single,2,6,702
10,single,3,6,822
10,married,0,7,841
10,married,1,7,926
10,married,2,7,995
10,married,3,7,1082
10,single,0,7,572
10,single,1,7,671
10,single,2,7,792
10,single,3,7,913
10,married,0,8,918
10,married,1,8,1002
10,married,2,8,1071
10,married,3,8,1159
10,single,0,8,649
10,single,1,8,748
10,single,2,8,870
10,single,3,8,992
10,married,0,9,996
10,married,1,9,1080
10,married,2,9,1149
10,married,3,9,1238
10,single,0,9,727
10,single,1,9,827
10,single,2,9,949
10,single,3,9,1072
10,married,0,10,1047
10,married,1,10,1132
10,married,2,10,1201
10,married,3,10,1290
10,single,0,10,780
10,single,1,10,879
10,single,2,10,1002
10,single,3,10,1125
10,married,0,11,1111
10,married,1,11,1196
10,married,2,11,1265
10,married,3,11,1355
10,single,0,11,844
10,single,1,11,944
10,single,2,11,1067
10,single,3,11,1191
10,married,0,12,1226
10,married,1,12,1310
10,married,2,12,1379
10,married,3,12,1471
10,single,0,12,959
10,single,1,12,1060
10,single,2,12,1184
10,single,3,12,1309
10,married,0,13,1398
10,married,1,13,1482
10,married,2,13,1551
10,married,3,13,1645
10,single,0,13,1133
10,single,1,13,1234
10,single,2,13,1360
10,single,3,13,1486
10,married,0,14,1420
10,married,1,14,1504
10,married,2,14,1573
10,married,3,14,1668
10,single,0,14,1155
10,single,1,14,1256
10,single,2,14,1382
10,single,3,14,1508
11,married,0,1,623
11,married,1,1,724
11,married,2,1,793
11,married,3,1,903
11,single,0,1,337
11,single,1,1,450
11,single,2,1,570
11,single,3,1,706
11,married,0,2,623
11,married,1,2,724
11,married,2,2,793
11,married,3,2,903
11,single,0,2,353
11,single,1,2,450
11,single,2,2,570
11,single,3,2,706
11,married,0,3,639
11,married,1,3,724
11,married,2,3,793
11,married,3,3,903
11,single,0,3,369
11,single,1,3,467
11,single,2,3,586
11,single,3,3,706
11,married,0,4,665
11,married,1,4,750
11,married,2,4,818
11,married,3,4,903
11,single,0,4,394
11,single,1,4,492
11,single,2,4,612
11,single,3,4,732
11,married,0,5,705
11,married,1,5,790
11,married,2,5,859
11,married,3,5,944
11,single,0,5,435
11,single,1,5,533
11,single,2,5,653
11,single,3,5,773
11,married,0,6,766
11,married,1,6,851
11,married,2,6,919
11,married,3,6,1005
11,single,0,6,496
11,single,1,6,594
11,single,2,6,715
11,single,3,6,836
11,married,0,7,854
11,married,1,7,939
11,married,2,7,1008
11,married,3,7,1095
11,single,0,7,585
11,single,1,7,684
11,single,2,7,805
11,single,3,7,927
11,married,0,8,930
11,married,1,8,1015
11,married,2,8,1084
11,married,3,8,1172
11,single,0,8,662
11,single,1,8,761
11,single,2,8,883
11,single,3,8,1005
11,married,0,9,1009
11,married,1,9,1093
11,married,2,9,1162
11,married,3,9,1251
11,single,0,9,741
11,single,1,9,840
11,single,2,9,963
11,single,3,9,1085
11,married,0,10,1060
11,married,1,10,1145
11,married,2,10,1214
11,married,3,10,1303
11,single,0,10,793
11,single,1,10,892
11,single,2,10,1015
11,single,3,10,1138
11,married,0,11,1124
11,married,1,11,1209
11,married,2,11,1278
11,married,3,11,1368
11,single,0,11,857
11,single,1,11,957
11,single,2,11,1080
11,single,3,11,1204
11,married,0,12,1239
11,married,1,12,1323
11,married,2,12,1392
11,married,3,12,1484
11,single,0,12,972
11,single,1,12,1073
11,single,2,12,1197
11,single,3,12,1322
11,married,0,13,1411
11,married,1,13,1495
11,married,2,13,1564
11,married,3,13,1658
11,single,0,13,1146
11,single,1,13,1247
11,single,2,13,1373
11,single,3,13,1499
11,married,0,14,1433
11,married,1,14,1517
11,married,2,14,1586
11,married,3,14,1681
11,single,0,14,1168
11,single,1,14,1269
11,single,2,14,1395
11,single,3,14,1522
12,married,0,1,610
12,married,1,1,711
12,married,2,1,780
12,married,3,1,890
12,single,0,1,323
12,single,1,1,437
12,single,2,1,556
12,single,3,1,692
12,married,0,2,610
12,married,1,2,711
12,married,2,2,780
